영화명,매출액,관객수,대표국적,배급사,제작국가,감독,장르1,장르2,장르3,장르4,장르5,장르6,장르7
해피 해피 와이너리,27319300,3747,1,주식회사 씨네룩스,일본,미시마 유키코,코미디,가족,드라마,,,,
위층여자,18962000,3739,3,노바엔터테인먼트,한국,이찬욱,범죄,액션,스릴러,,,,
맨헌트,28457500,3738,0,주식회사 풍경소리,중국,오우삼,코미디,드라마,,,,,
,,,0,,,,다큐멘터리,,,,,,
,,,0,,,,다큐멘터리,,,,,,
빅 화이트,24643500,3731,2,2.6,미국,마크 미로드,드라마,스릴러,,,,,
악인,27695000,3725,1,주식회사 마운틴픽쳐스,일본,이상일,드라마,,,,,,
,,,0,,,,코미디,드라마,,,,,
사랑에 빠진 것처럼,28270500,3712,0,(주)영화사 조제,"프랑스,일본,이란",압바스 키아로스타미,멜로/로맨스,드라마,,,,,
빨간 구두,25175000,3712,0,(주)아펙스 엔터테인먼트,이탈리아,세르지오 카스텔리토,드라마,액션,범죄,,,,
미스터 하이네켄,29494300,3711,0,(주)스톰픽쳐스코리아,"영국,네덜란드,벨기에",다니엘 알프레드슨,드라마,,,,,,
아웃사이더,18555000,3711,2,(주)미디어데이,미국,브라이언 A 밀러,드라마,가족,,,,,
,,,0,,,,액션,코미디,,,,,
천하칠검 양가장,26032500,3706,0,(주)미디어데이,"중국,홍콩",우인태,다큐멘터리,,,,,,
마셰티,27981000,3702,2,(주)화앤담이엔티,미국,"로버트 로드리게즈,에단 마니퀴스",공포(호러),스릴러,,,,,
커피 한잔이 섹스에 미치는 영향,26534000,3700,2,㈜영화사 백두대간,미국,스테이시 패숀,드라마,,,,,,
미안하다 독도야,21461500,3694,3,메가픽쳐스제이씨(주),한국,최현묵,멜로/로맨스,,,,,,
발렛,25176000,3691,0,(주)영화사구안,프랑스,프랑시스 베베르,범죄,스릴러,,,,,
,,,0,,,,액션,드라마,,,,,
,,,0,,,,전쟁,,,,,,
,,,0,,,,스릴러,,,,,,
적도,27026500,3679,0,판씨네마(주),홍콩,"렁록만,써니 럭",공연,,,,,,
,,,0,,,,드라마,스릴러,,,,,
침입자들 : 로봇의 역습,24888000,3672,2,(주)미디어데이,미국,패트릭 라이언 심즈,판타지,어드벤처,,,,,
바쿠만,29582900,3661,1,(주)디스테이션,일본,오오네 히토시,멜로/로맨스,코미디,,,,,
초감각 커플,24224500,3658,3,필름메신저,한국,김형주,액션,코미디,,,,,
,,,0,,,,드라마,,,,,,
더 덴,19989000,3656,2,와이드 릴리즈(주),미국,재커리 도노휴,코미디,,,,,,
영원한 여름,24774500,3646,0,위드시네마,대만,레스테 첸,드라마,,,,,,
파우스트,28903000,3634,0,㈜영화사 백두대간,미국,데스 맥가너프,애니메이션,드라마,액션,어드벤처,,,
,,,0,,,,드라마,스릴러,,,,,
,,,0,,,,공포(호러),스릴러,,,,,
,,,0,,,,드라마,,,,,,
맥코리아,25154000,3631,3,주식회사 마운틴픽쳐스,한국,김형렬,애니메이션,,,,,,
,,,0,,,,다큐멘터리,,,,,,
별별 이야기 2-여섯 빛깔 무지개,18046500,3625,3,"영화사청어람(주),㈜인디스토리",한국,"안동희,홍덕표,이홍수,이홍민,권미정,정민영,박용제",드라마,,,,,,
포제션 : 중독된 사랑,18125000,3625,2,(주)미디어데이,미국,"조엘 버그발,시몬 샌드퀴스트",드라마,,,,,,
아버지를 마지막으로 본 것은 언제입니까?,26210700,3603,0,프리비젼엔터테인먼트,아일랜드,아넌드 터커,드라마,,,,,,
플래닛 비보이,25093000,3596,2,(주)솔강,미국,벤슨 리,코미디,,,,,,
영춘권 무림 절대 고수,12145000,3595,0,(주)소나무픽쳐스,중국,장동조,드라마,,,,,,
,,,0,,,,범죄,드라마,,,,,
추방된 사람들,23167500,3592,0,판씨네마(주),프랑스,토니 갓리프,애니메이션,SF,어드벤처,,,,
대관람차,29812250,3591,3,무브먼트,한국,"백재호,이희섭",공포(호러),,,,,,
"힘내세요, 병헌씨",26062600,3589,3,㈜인디스토리,한국,이병헌,다큐멘터리,,,,,,
스킨 트레이드,18621000,3588,2,(주)로드하우스,"미국,캐나다,태국",에카차이 우에크롱탐,코미디,드라마,,,,,
경계의 저편 : I'LL BE HERE -과거편-,25700000,3579,1,(주)머스트씨무비릴리징컴퍼니,일본,이시다테 타이치,드라마,,,,,,
,,,0,,,,드라마,범죄,,,,,
,,,0,,,,드라마,,,,,,
오스카 그랜트의 어떤 하루,24970500,3573,2,(주)영화사 진진,미국,라이언 쿠글러,액션,,,,,,
레드라인,28676000,3572,1,에이원엔터테인먼트,일본,코이케 타케시,다큐멘터리,,,,,,
안티크라이스트,27500000,3570,0,주식회사 마운틴픽쳐스,덴마크,라스 폰 트리에,범죄,액션,,,,,
순천,22750200,3569,3,(주)인디플러그,한국,이홍기,드라마,,,,,,
나의 서른에게,25889900,3567,0,(주)박수엔터테인먼트,홍콩,팽수혜,SF,스릴러,,,,,
,,,0,,,,코미디,드라마,,,,,
클레멘타인,22983000,3562,3,(주)엔터모드,한국,김두영,드라마,스릴러,,,,,
,,,0,,,,코미디,드라마,멜로/로맨스,,,,
,,,0,,,,성인물(에로),,,,,,
,,,0,,,,멜로/로맨스,,,,,,
,,,0,,,,스릴러,,,,,,
,,,0,,,,드라마,,,,,,
,,,0,,,,다큐멘터리,,,,,,
"나의 아들, 나의 어머니",25789800,3543,3,(주)인디플러그,한국,안재민,드라마,,,,,,
가자! 장미여관으로 2 - 갈증,14471000,3534,3,(주)에이블엔터테인먼트,한국,김봉은,액션,드라마,,,,,
카르멘,82100500,3531,0,(주)케빈앤컴퍼니,미국,"매튜 다이아몬드,파블로 헤라스 카사도",다큐멘터리,,,,,,
,,,0,,,,드라마,,,,,,
,,,0,,,,SF,액션,,,,,
,,,0,,,,다큐멘터리,,,,,,
,,,0,,,,다큐멘터리,,,,,,
핀두스 이야기,17345000,3524,0,(주)레인메이커필름,독일,알리 사마디 아하디,드라마,코미디,,,,,
,,,0,,,,코미디,,,,,,
,,,0,,,,다큐멘터리,,,,,,
마네의 제비꽃 여인: 베르트 모리조,25115500,3521,0,씨드,프랑스,카롤린느 샹페티에,드라마,,,,,,
프리다의 그해 여름,27411800,3519,0,(주)디스테이션,스페인,카를라 시몬,액션,,,,,,
비바,26961500,3518,0,(주)팝엔터테인먼트,"아일랜드,쿠바",패디 브레스내치,드라마,,,,,,
메리와 맥스,25375000,3516,0,팝엔터테인먼트,호주,아담 엘리어트,멜로/로맨스,코미디,,,,,
천국의 아이들,19712000,3514,3,(주)미로비젼,한국,박흥식,드라마,,,,,,
지킬 앤 하이드,31576700,3510,2,(주)인스터피씨엠,미국,돈 로이 킹,멜로/로맨스,드라마,성인물(에로),,,,
세번째 시선,21525900,3510,3,(주)영화사 진진,한국,"이미연,정윤철,홍기선,김선,김현필",드라마,코미디,멜로/로맨스,,,,
마이 보이,23744800,3508,3,(주)트리필름,한국,전규환,드라마,,,,,,
엔젤,23594000,3506,0,(주)스폰지이엔티,"벨기에,영국,프랑스",프랑수아 오종,애니메이션,,,,,,
인생을 애니메이션처럼,26069300,3505,2,판씨네마(주),"미국,프랑스",로저 로스 윌리엄스,드라마,멜로/로맨스,,,,,
로봇,25705000,3504,0,프리비젼엔터테인먼트,인도,S. 샹카르,드라마,,,,,,
세컨 찬스,27333800,3497,0,"(주)영화사오원,(주)브리즈픽처스",덴마크,수잔 비에르,다큐멘터리,,,,,,
톡투미,23370500,3493,2,(주)유레카픽쳐스,미국,카시 레몬즈,코미디,드라마,,,,,
친구사이?,23516700,3491,3,청년필름(주),한국,김조광수,스릴러,,,,,,
수성못,25869400,3490,3,㈜인디스토리,한국,유지영,액션,스릴러,,,,,
철의 심장을 가진 남자,25942250,3490,2,아이 엠,미국,세드릭 히메네즈,스릴러,,,,,,
넥스트 제네레이션 패트레이버,23674500,3488,1,와이드 릴리즈(주),일본,오시이 마모루,드라마,코미디,,,,,
쇼콜라,26217000,3480,0,판씨네마(주),프랑스,로쉬디 젬,애니메이션,액션,어드벤처,,,,
,,,0,,,,가족,드라마,,,,,
남극의 쉐프,24735000,3474,1,(주)스폰지이엔티,일본,오키타 슈이치,드라마,범죄,,,,,
줄탁동시,23988600,3469,3,㈜인디스토리,한국,김경묵,코미디,,,,,,
메리 크리스마스 미스터 모,24476800,3465,3,㈜인디스토리,한국,임대형,다큐멘터리,,,,,,
홈프론트-가족을 지켜라,23849000,3464,2,(주)팝엔터테인먼트,미국,게리 플레더,코미디,,,,,,
일탈여행: 프라이빗 아일랜드,18135500,3460,3,(주)팝엔터테인먼트,한국,한상희,드라마,,,,,,
,,,0,,,,다큐멘터리,,,,,,
저녁의 게임,24486500,3448,3,한국예술영화관협회,한국,최낙권,드라마,,,,,,
오페라-카르멘(메트로폴리탄),67804000,3442,2,㈜메가박스,미국,"게리 할버슨,리처드 이어",액션,판타지,,,,,
나부코,70872000,3441,2,(주)인스터피씨엠,미국,바바라 윌리스 스위츠,범죄,스릴러,,,,,
강철의 연금술사 : 미로스의 성스러운 별,24368000,3441,1,예지림엔터테인먼트,일본,무라타 카즈야,액션,SF,스릴러,,,,
정원을 그리다 : 모네에서 마티스까지,36375500,3441,0,메가박스중앙(주),영국,데이비드 비커스태프,드라마,,,,,,
,,,0,,,,코미디,,,,,,
"무현, 두 도시 이야기 : 파이널 컷",24539000,3439,3,㈜인디스토리,한국,전인환,공포(호러),코미디,스릴러,드라마,전쟁,,
,,,0,,,,공연,,,,,,
로마에서 생긴 일,26475000,3429,2,1.7,미국,마크 스티븐 존슨,액션,,,,,,
몬몬몬 몬스터,27639200,3426,0,주식회사 더쿱,대만,구파도,코미디,액션,,,,,
,,,0,,,,액션,드라마,스릴러,,,,
,,,0,,,,멜로/로맨스,드라마,,,,,
밤을 걷는 뱀파이어 소녀,26072679,3416,2,찬란,미국,애나 릴리 아미푸르,멜로/로맨스,드라마,,,,,
로맨스 조,26020600,3415,3,씨네21아이(주),한국,이광국,애니메이션,드라마,판타지,코미디,,,
미켈란젤로 : 사랑과 죽음,33952000,3411,0,메가박스중앙(주),영국,데이비드 비커스태프,코미디,멜로/로맨스,,,,,
퍼블릭 에너미 넘버원,26932000,3410,0,예지림엔터테인먼트,"프랑스,캐나다,이탈리아",장-프랑소와 리셰,액션,,,,,,
이파네마 소년,25033500,3410,3,프리비젼엔터테인먼트,한국,김기훈,스릴러,액션,,,,,
,,,0,,,,스릴러,,,,,,
레나,21196700,3393,3,(주)모멘텀엔터테인먼트,한국,김도원,스릴러,액션,범죄,,,,
어느날 그 길에서,21835500,3383,3,(주)영화사 진진,한국,황윤,멜로/로맨스,드라마,,,,,
"파리, 사랑한 날들",25902000,3379,0,퍼즐엔터테인먼트,프랑스,미카엘 코헨,코미디,멜로/로맨스,,,,,
채식주의자,25146000,3379,3,(주)스폰지이엔티,한국,임우성,코미디,미스터리,,,,,
6 웨이 투 다이,16890000,3378,2,제인앤유,미국,나딤 사우마,드라마,,,,,,
,,,0,,,,드라마,,,,,,
토카레브,17706000,3375,2,(주)누리픽쳐스,미국,파코 카베자스,애니메이션,판타지,드라마,,,,
더 커널,26773100,3368,0,"(주)영화사오원,(주)브리즈픽처스",아일랜드,이반 캐바나,스릴러,액션,,,,,
라 멜로디,25241500,3365,0,(주)디스테이션,프랑스,라시드 하미,드라마,,,,,,
투 러버스 앤 베어,26655200,3364,0,(주)팝엔터테인먼트,캐나다,킴 누옌,애니메이션,판타지,어드벤처,,,,
,,,0,,,,드라마,,,,,,
비욘드 러브,23151000,3360,0,(주)월드시네마,인도,수바시 가이,다큐멘터리,,,,,,
삼총사 2014,9719000,3354,0,(주)소나무픽쳐스,러시아,세르게이 지노프,액션,어드벤처,,,,,
,,,0,,,,드라마,,,,,,
스위트 크리스마스,22231500,3348,2,(주)영화사 진진,미국,채즈 팔민테리,액션,,,,,,
,,,0,,,,드라마,,,,,,
,,,0,,,,액션,범죄,드라마,,,,
"1999, 면회",23525300,3342,3,㈜인디스토리,한국,김태곤,애니메이션,SF,액션,,,,
더 펜션,30492000,3340,3,(주)영화사오원,한국,"류장하,양종현,윤창모,정허덕재",스릴러,,,,,,
은하해방전선,21177500,3335,3,㈜인디스토리,한국,윤성호,드라마,,,,,,
릴라 릴라,26583400,3331,0,(주)영화사 진진,독일,알랑 그스포너,스릴러,,,,,,
아빠의 화장실,23377500,3328,0,(주)영화사 진진,"우루과이,브라질,프랑스","세자르 샬론,엔리케 페르난데스",가족,드라마,,,,,
리슨 투 유어 하트,25534000,3325,2,퍼즐엔터테인먼트,미국,맷 톰슨,멜로/로맨스,드라마,,,,,
테르마이 로마이,23674500,3319,1,브릿지웍스 엔터테인먼트(주),일본,타케우치 히데키,스릴러,공포(호러),,,,,
고양이는 불러도 오지 않는다,25518600,3306,1,(주)디스테이션,일본,야마모토 토루,다큐멘터리,,,,,,
청야,11505000,3305,3,(주)마노엔터테인먼트,한국,김재수,드라마,멜로/로맨스,,,,,
달려라 루디,19146000,3302,0,㈜세종커뮤니케이션스,독일,피터 팀,드라마,,,,,,
요시토모 나라와의 여행,22321000,3296,1,(주)스폰지이엔티,일본,사카베 코지,드라마,,,,,,
,,,0,,,,멜로/로맨스,,,,,,
피쉬 스토리,22930000,3280,1,2.6,일본,나카무라 요시히로,드라마,미스터리,,,,,
괴물들,28104500,3277,3,(주)리틀빅픽쳐스,한국,김백준,액션,범죄,스릴러,,,,
더 박스,23544000,3276,2,(주)시너지하우스 (시너지),미국,리처드 켈리,드라마,멜로/로맨스,코미디,,,,
뷰티풀 데이즈,24732050,3263,3,"(주)콘텐츠판다,(주)스마일이엔티","한국,프랑스",윤재호,범죄,액션,,,,,
삼례,24092600,3244,3,(주)인디플러그,한국,이현정,액션,범죄,코미디,,,,
죽음의 숲-어느날 갑자기 네번째 이야기,21760000,3241,3,2.6,한국,김정민,액션,드라마,,,,,
존 레논 컨피덴셜,21761500,3241,2,(주)영화사 진진,미국,"데이비드 레프,존 쉐인필드",스릴러,,,,,,
뱅뱅클럽,24065700,3235,0,(주)에스와이코마드,"캐나다,남아프리카공화국",스티븐 실버,드라마,멜로/로맨스,,,,,
,,,0,,,,전쟁,드라마,,,,,
미라클 여행기,20562500,3228,3,미라클필름,한국,허철,멜로/로맨스,드라마,,,,,
에벌리,20988500,3223,2,와이드 릴리즈(주),미국,조 린치,멜로/로맨스,,,,,,
,,,0,,,,다큐멘터리,,,,,,
그르바비차,22129000,3220,0,위드시네마,보스니아,야스밀라 즈바니치,범죄,스릴러,,,,,
라잇 온 미,25044600,3213,2,(주)영화사 진진,미국,아이라 잭스,스릴러,,,,,,
미친도시,24132500,3209,3,영화사 마그나,한국,장태령,애니메이션,판타지,어드벤처,,,,
파코와 마법 동화책,23161200,3208,1,주식회사 마운틴픽쳐스,일본,나카시마 테츠야,공포(호러),,,,,,
,,,0,,,,다큐멘터리,어드벤처,,,,,
달려라 자전거,21392500,3201,3,(주)영화사 진진,한국,임성운,드라마,스릴러,,,,,
파리 시청 앞에서의 키스: 로베르 두아노,23713797,3200,0,(주)영화사 진진,프랑스,클레망틴 드루디유,코미디,멜로/로맨스,,,,,
무명인,25063600,3199,3,2,"한국,일본",김성수,드라마,,,,,,
,,,0,,,,코미디,드라마,,,,,
"나의 친구, 그의 아내",21309200,3190,3,(주)프라임엔터테인먼트,한국,신동일,범죄,액션,,,,,
세븐 싸이코패스,22617841,3185,0,(주)미디어로그,영국,마틴 맥도나,기타,,,,,,
노래로 쏘아 올린 기적,20481200,3182,0,"(주)올댓시네마 플러스,(주)미로스페이스","팔레스타인,아르헨티나",하니 아부 아사드,드라마,,,,,,
우리에게 내일은 없다,21079500,3181,3,스폰지,한국,노동석,멜로/로맨스,드라마,,,,,
언더 더 스킨,17104000,3174,0,씨네그루(주)다우기술,영국,조나단 글레이저,드라마,,,,,,
왕의 이름으로 2,12325000,3170,0,(주)소나무픽쳐스,독일,우베 볼,드라마,스릴러,,,,,
나인스 라이프,23933000,3166,0,(주)라이크 콘텐츠,영국,알렉산더 아야,드라마,,,,,,
,,,0,,,,공포(호러),,,,,,
,,,0,,,,액션,전쟁,,,,,
바람의 검심 : 교토 대화재편,25230000,3160,1,"㈜T-JOY,1.1",일본,오오토모 케이시,드라마,,,,,,
10분,24284400,3158,3,2,한국,"이용승,박기용",멜로/로맨스,액션,,,,,
택시 5,25573700,3155,0,(주)삼백상회,프랑스,프랑크 가스탐비드,다큐멘터리,,,,,,
5x2,21501500,3155,0,(주)스폰지이엔티,프랑스,프랑수아 오종,액션,스릴러,,,,,
"앵두야, 연애하자",21830700,3154,3,"홀리가든,주식회사 마운틴픽쳐스",한국,정하린,미스터리,멜로/로맨스,,,,,
백발마녀전: 명월천국,15699000,3151,0,(주)누리픽쳐스,중국,장지량,액션,코미디,,,,,
바세코의 아이들,18790500,3150,3,주식회사 마운틴픽쳐스,한국,김경식,액션,,,,,,
샷 콜러,21625100,3147,2,(주)스톰픽쳐스코리아,미국,릭 로만 워프,스릴러,,,,,,
"모모세, 여기를 봐",24662500,3144,1,(주)마인스 엔터테인먼트,일본,야쿠모 사이지,액션,SF,,,,,
맛있는 비행,16041000,3141,3,노바엔터테인먼트,한국,전병철,스릴러,,,,,,
오장군의 발톱,17840600,3139,3,상남영화제작소,한국,김재한,공포(호러),스릴러,,,,,
,,,0,,,,액션,어드벤처,,,,,
해피엔딩 프로젝트,20840500,3130,0,(주)에스와이코마드,캐나다,마이클 맥고완,드라마,,,,,,
,,,0,,,,멜로/로맨스,드라마,스릴러,,,,
아름다운 별,26217500,3119,1,"(주)싸이더스,아이 엠",일본,요시다 다이하치,드라마,멜로/로맨스,,,,,
,,,0,,,,멜로/로맨스,,,,,,
,,,0,,,,드라마,판타지,미스터리,,,,
,,,0,,,,전쟁,드라마,,,,,
,,,0,,,,코미디,,,,,,
도쿄 오아시스,24605200,3114,1,(주)영화사 조제,일본,마츠모토 카나,액션,드라마,어드벤처,스릴러,,,
완벽한 거짓말,22442600,3112,0,주식회사 디에스이이디,프랑스,얀 고즐런,스릴러,드라마,,,,,
,,,0,,,,다큐멘터리,,,,,,
노 임팩트 맨,22148400,3110,2,KT&G 시네마 상상마당,미국,"로라 가버트,저스틴 쉐인",범죄,액션,코미디,,,,
와일드 카드,23712000,3109,2,(주)영화사 빅,미국,사이먼 웨스트,드라마,,,,,,
네 번,23444000,3107,0,팝엔터테인먼트,"이탈리아,독일,스위스",미켈란젤로 프라마르티노,드라마,,,,,,
미피의 동물원 보물찾기,20782000,3102,0,케이티하이텔(주),네덜란드,한스 퍼크,SF,액션,,,,,
가을 우체국,23270700,3099,3,(주)에스와이코마드,한국,임왕태,멜로/로맨스,,,,,,
마마 앤드 파파,22116000,3099,3,주식회사 케이엠스타,한국,장태령,스릴러,,,,,,
,,,0,,,,전쟁,드라마,,,,,
,,,0,,,,코미디,드라마,,,,,
파울라,23578200,3091,0,(주)라이크 콘텐츠,독일,크리스찬 슈뵈초브,코미디,,,,,,
영도,24304000,3089,3,(주)콘텐츠판다,한국,손승웅,드라마,,,,,,
멋진 인생,23575200,3089,3,(주)영화사 조제,한국,신춘수,스릴러,,,,,,
살아있는 야생탐험,35154000,3088,0,씨제이 씨지브이(CJ CGV)(주),이스라엘,오데드 시모니,코미디,드라마,,,,,
봄이가도,22808700,3088,3,(주)시네마달,한국,"장준엽,진청하,전신환",범죄,드라마,,,,,
,,,0,,,,다큐멘터리,,,,,,
,,,0,,,,스릴러,,,,,,
,,,0,,,,코미디,멜로/로맨스,,,,,
마법경찰 갈갈이와 옥동자,18446500,3074,3,콜럼비아트라이스타㈜,한국,이한열,드라마,,,,,,
히치콕 트뤼포,24727100,3073,0,(주)영화사 안다미로,"프랑스,미국",켄트 존스,드라마,액션,스릴러,범죄,,,
굿바이 보이,22970000,3071,3,㈜인디스토리,한국,노홍진,멜로/로맨스,드라마,,,,,
볼케이노: 삶의 전환점에 선 남자,19758500,3071,0,프리비젼엔터테인먼트,아이슬란드,루나 루나슨,애니메이션,,,,,,
불편한 진실,19043500,3070,2,1,미국,데이비드 구겐하임,범죄,드라마,,,,,
바후발리 : 더 비기닝,25209500,3068,0,팔레드시네마(주),인도,S.S. 라자몰리,다큐멘터리,,,,,,
유닛7,16948000,3068,0,와이드 릴리즈(주),스페인,알베르토 로드리게즈,드라마,,,,,,
히트맨 NO.2 : 살인면허,10083000,3067,0,스크린조이,영국,페리 반달,멜로/로맨스,,,,,,
진저 앤 로사,22042500,3064,0,그린나래미디어(주),영국,샐리 포터,액션,어드벤처,스릴러,,,,
최후의 Z,16835500,3063,0,(주)드림팩트엔터테인먼트,"아이슬란드,미국",크레이그 조벨,애니메이션,,,,,,
깃,18208500,3060,3,주식회사 루믹스미디어,한국,송일곤,코미디,멜로/로맨스,,,,,
,,,0,,,,다큐멘터리,,,,,,
파밍 보이즈,20671200,3056,3,(주)영화사 진진,한국,"장세정,변시연,강호준",코미디,가족,뮤지컬,,,,
소리굽쇠,24069800,3054,3,3,한국,추상록,드라마,,,,,,
겁쟁이 페달: 리로드,21326808,3050,1,(주)미디어캐슬,일본,나베시마 오사무,애니메이션,액션,판타지,,,,
밀레니엄 제 1부 : 여자를 증오한 남자들,24148000,3048,0,팝엔터테인먼트,"스웨덴,덴마크",닐스 아르덴 오플레브,드라마,,,,,,
그댄 나의 뱀파이어,22393000,3048,3,주식회사 마운틴픽쳐스,한국,이원회,멜로/로맨스,,,,,,
엔드 오브 디 어스,24762700,3047,0,(주)콘텐츠판다,"캐나다,미국","데렉 리,클리프 프라우즈",멜로/로맨스,드라마,,,,,
피터팬의 공식,18992000,3046,3,2.6,한국,조창호,드라마,,,,,,
오페라-투란도트(메트로폴리탄),60778000,3045,2,㈜메가박스,미국,프랑코 제피렐리,공연,,,,,,
우리 연애의 이력,24084800,3043,3,(주)모멘텀엔터테인먼트,한국,조성은,액션,,,,,,
정글,24788300,3043,0,㈜코리아스크린,"호주,콜롬비아",그렉 맥린,공연,드라마,멜로/로맨스,,,,
,,,0,,,,멜로/로맨스,,,,,,
,,,0,,,,기타,SF,드라마,코미디,판타지,멜로/로맨스,
하얀 정글,22405700,3037,3,(주)영화사 진진,한국,송윤희,멜로/로맨스,드라마,,,,,
페이퍼보이: 사형수의 편지,22677500,3030,2,(주)퍼스트런,미국,리 다니엘스,드라마,,,,,,
,,,0,,,,드라마,,,,,,
까미유 끌로델,23610000,3027,0,찬란,프랑스,부르노 뒤몽,스릴러,드라마,멜로/로맨스,액션,,,
,,,0,,,,SF,미스터리,,,,,
케이트 맥콜,23062500,3014,2,와이드 릴리즈(주),미국,카렌 몬크리프,액션,코미디,,,,,
재키 앤 라이언,23288000,3011,2,(주)팝엔터테인먼트,미국,아미 카난 만,액션,코미디,,,,,
파리 투 마르세유: 2주간의 여행,22814500,3010,0,"(주)디스테이션,(주)브리즈픽처스",프랑스,라시드 드자이다니,범죄,스릴러,,,,,
콜드 워,18621500,3010,0,(주)앤드플러스미디어웍스,홍콩,"써니 럭,렁록만",드라마,,,,,,
,,,0,,,,멜로/로맨스,코미디,,,,,
당신은 아직 아무것도 보지 못했다,23142500,2999,0,(주)영화사 조제,프랑스,알랭 레네,스릴러,드라마,,,,,
창피해,21062700,2998,3,주식회사 마운틴픽쳐스,한국,김수현,액션,,,,,,
제인 구달,22602000,2998,0,오드,독일,로렌츠 크나우어,드라마,,,,,,
호타루의 빛,23127500,2989,1,"골든타이드픽처스(주),(주)영화사 조제",일본,요시노 히로시,드라마,,,,,,
극장판 헌터X헌터 : 팬텀루즈,18568000,2988,1,씨너스엔터테인먼트(주),일본,사토 유조,공연,,,,,,
,,,0,,,,미스터리,스릴러,,,,,
노조키메,23575900,2982,1,브릿지웍스 엔터테인먼트(주),일본,미키 코이치로,스릴러,멜로/로맨스,드라마,,,,
다이빙벨 그후,23524000,2981,3,(주)씨네포트,한국,이상호,범죄,코미디,,,,,
,,,0,,,,액션,,,,,,
"굿바이, 평양",20887500,2969,3,(주)키노아이디엠씨,한국,양영희,드라마,,,,,,
파리의 한국남자,21816000,2966,3,(주)모멘텀엔터테인먼트,한국,전수일,미스터리,스릴러,,,,,
살인자의 기억법 : 새로운 기억,19563000,2958,3,2.9,한국,원신연,액션,코미디,,,,,
,,,0,,,,드라마,어드벤처,,,,,
,,,0,,,,스릴러,드라마,,,,,
,,,0,,,,액션,,,,,,
,,,0,,,,다큐멘터리,,,,,,
,,,0,,,,드라마,멜로/로맨스,,,,,
전국: 천하영웅의 시대,13958000,2938,0,(유)조이앤컨텐츠그룹,중국,금침,액션,스릴러,드라마,,,,
,,,0,,,,코미디,,,,,,
티켓,19955000,2930,0,(주)동숭아트센터,"이탈리아,영국,이란","압바스 키아로스타미,켄 로치,에르마노 올미",공연,,,,,,
나와 봄날의 약속,22032500,2929,3,씨네그루(주)키다리이엔티,한국,백승빈,드라마,,,,,,
"피아노, 솔로",20097700,2924,0,㈜인디스토리,이탈리아,리카르도 밀라니,멜로/로맨스,드라마,,,,,
마터스: 천국을 보는 눈,23570000,2922,0,2.8,"프랑스,캐나다",파스칼 로지에,다큐멘터리,,,,,,
위켄즈,20971700,2921,3,무브먼트,한국,이동하,가족,어드벤처,드라마,,,,
라이브 인 3D 휘성 : 잇츠 리얼,39755000,2920,3,에스케이텔레콤(주),한국,정성복,액션,스릴러,범죄,,,,
분장,21236800,2914,3,무브먼트,한국,남연우,다큐멘터리,판타지,,,,,
백자의 사람 : 조선의 흙이 되다,19808500,2912,1,(주)미로비젼,일본,타카하시 반메이,드라마,미스터리,판타지,,,,
,,,0,,,,드라마,,,,,,
실버벨,21598000,2910,2,(재)CBS,미국,해롤드 크론크,드라마,,,,,,
원나잇 온리,21923300,2909,3,(주)레인보우팩토리,한국,김조광수,공연,,,,,,
,,,0,,,,액션,,,,,,
이것이 우리의 끝이다,21283800,2898,3,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),한국,김경묵,드라마,액션,범죄,,,,
,,,0,,,,드라마,,,,,,
폴링 스노우,20078000,2892,0,주식회사 디에스이이디,영국,샤밈 샤리프,애니메이션,SF,액션,,,,
엽문4: 종극일전,16017000,2888,0,(주)소나무픽쳐스,홍콩,구예도,멜로/로맨스,,,,,,
인디애니박스:셀마의 단백질 커피,17753800,2887,3,㈜인디스토리,한국,"김운기,구봉회",코미디,멜로/로맨스,,,,,
,,,0,,,,다큐멘터리,,,,,,
,,,0,,,,드라마,코미디,멜로/로맨스,,,,
,,,0,,,,코미디,멜로/로맨스,,,,,
내일의 죠,22219000,2881,1,(주)미디어데이,일본,소리 후미히코,미스터리,스릴러,,,,,
밀양 아리랑,17404000,2870,3,(주)시네마달,한국,박배일,SF,액션,판타지,드라마,,,
,,,0,,,,다큐멘터리,,,,,,
부모님과 이혼하는 방법,20144500,2866,2,주식회사 씨네룩스,미국,제이슨 베이트먼,다큐멘터리,,,,,,
고양이 장례식,23200900,2865,3,(주)인디플러그,한국,이종훈,드라마,,,,,,
여자들,20784800,2861,3,㈜인디스토리,한국,이상덕,드라마,,,,,,
레디액션 청춘,22317300,2855,3,(주)인벤트스톤,한국,"김진무,박가희,주성수,정원식",스릴러,,,,,,
,,,0,,,,다큐멘터리,,,,,,
,,,0,,,,멜로/로맨스,드라마,코미디,,,,
박사가 사랑한 수식,19440500,2845,1,(주)스폰지이엔티,일본,고이즈미 타카시,다큐멘터리,,,,,,
,,,0,,,,애니메이션,,,,,,
나이트 오브 컵스,21438500,2844,2,(주)프레인글로벌,미국,테렌스 맬릭,다큐멘터리,,,,,,
푸치니 초급과정,20058500,2841,2,㈜메가박스,미국,마리아 매겐티,다큐멘터리,,,,,,
,,,0,,,,드라마,,,,,,
소리아이,18869000,2838,3,"(주)영화사 진진,아트플러스시네마네트워크",한국,백연아,SF,액션,,,,,
,,,0,,,,드라마,,,,,,
